"","County","D303_Percent","SEWAGENPDESperKM","INDNPDESperKM","STORMNPDESperKM","numDays_Close_Activity_tot","numDays_Cont_Activity_tot","numDays_Rain_Activity_tot","Per_TotPopSS_ave","CaAve","MgAve","Kave","NaAve","NH4Ave","NO3Ave","ClAve","SO4Ave","HgAve","AvgOfD3_ave","As","Ba","Cd","Cr","CN","FL","HG","NO3","NO2","SE","SB","BE","TI","ENDRIN","LINDANE","METHOXYCHLOR","TOXAPHENE","DALAPON","DEHA","OXAMYL","SIMAZINE","DEHP","PICLORAM","DINOSEB","HCCPD","CARBOFURAN","ATRAZINE","ALACHLOR","HEPTACHLOR","HEPTACHLOR_EPOX","24D","HCB","BENZOAP","PCP","124TCIB","PCB","DBCP","EDB","XYLENES","CHLORDANE","DCM","ODCB","PDCB","VCM","11DCE","T12DCE","EDC","111TRICHLORANE","CCL4","PDC","TRICHLORENE","112TCA","C2CL4","BENZENE","CL1BENZ","TOLUENE","ETHYLBENZ","STRYENE","DCE","ALPHA","SILVEX","Instances","Instance Rate"
"58","Madison",0.59,0,16.96,0,0,0,0,74.39,0.0842,0.0119,0.0579,0.044,0.1397,0.6981,0.0885,1.1474,5.9249,6.23,0.005,0.01,0.001,0.02,0.04,0.1,0,1.04,0.08,0.01,0.003,0,0.001,0.01,0.01,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"145",435.7
"59","Martin",0.44,0,33.16,2.07,0,0,0,53.04,0.0906,0.0392,0.0912,0.2494,0.2025,0.7511,0.4478,1.1298,3.7462,0.08,0.006,0.26,0.001,0.018,0.027,0.94,0,1,0.07,0.01,0.003,0,0.001,0.01,0.26,0.1,1,1.4,0.6,2,0.07,1.61,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.64,0.1,0.02,0.04,0.5,0.1,0.02,0.01,2.58,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,3,0.2,"187",518.6
"60","Mecklenburg Count",21.18,0,333.55,38.12,0,0,0,4.21,0.0894,0.0287,0.1181,0.1104,0.1967,0.8776,0.2331,1.6772,5.4014,9,0.005,0.16,0.001,0.009,0.02,0.47,0,1.12,0.09,0.008,0.002,0,0.001,0.01,0.16,0.1,1,4,0.6,2,0.07,1.61,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,2.87,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.59,0.5,0.6,0.5,0.53,0.5,1.58,0.5,0.5,3.33,0.2,NA,NA
"61","Mitchell",0.32,0,55.97,3.5,0,0,0,65.41,0.0827,0.0137,0.0697,0.047,0.1663,0.737,0.0933,1.2164,6.7321,10.11,0.005,0.04,0.001,0.01,0.005,0.1,0,1.02,0.1,0.005,0.003,0,0.001,0.01,0.04,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"107",428.5
"62","Montgomery",0.64,0.89,29.48,1.79,0,0,0,32.41,0.0896,0.0287,0.0995,0.1337,0.2515,0.9181,0.2662,1.558,5.1989,7.52,0.005,0.1,0.001,0.005,0.04,0.66,0,1.12,0.02,0.01,0.003,0,0.001,0.01,0.1,0.1,1,4.53,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.25,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"187",485.4
"63","Moore",0.33,2.59,20.75,0,0,0,0,42.81,0.087,0.0252,0.0818,0.138,0.2563,0.8943,0.2625,1.4118,4.6982,6.12,0.005,0.23,0.001,0.015,0.029,0.45,0,1.25,0.08,0.008,0.003,0,0.001,0.01,0.23,0.1,1,1.1,0.6,2,0.07,1.45,0.1,0.2,0.1,0.9,0.1,0.39,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,1.27,0.5,0.5,0.5,0.5,0.5,0.5,4.47,0.2,"767",496.9
"64","Nash",0.04,15.3,67.02,3.64,0,0,0,13.74,0.0808,0.0269,0.08,0.1623,0.2305,0.8308,0.3125,1.2793,4.4816,2.85,0.006,0.1,0.001,0.011,0.019,0.31,0,0.99,0.08,0.006,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.43,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.75,0.223,0.5,0.5,0.5,0.5,0.92,0.5,0.5,0.5,0.5,0.6,0.68,0.5,0.77,0.53,0.5,0.5,0.5,0.5,0.5,1.63,0.2,"484",388
"65","New Hanover Count",4.53,0,326.04,35.25,31,9,0,20.51,0.1031,0.0875,0.1245,0.4446,0.2018,0.69,0.767,1.1244,3.6684,0,0.005,0.27,0.001,0.012,0.038,0.12,0,0.69,0.07,0.009,0.003,0,0.001,0.01,0.27,0.1,1,1.48,0.6,2,0.07,2.08,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.05,0.5,0.1,0.02,0.01,2.98,0.2,0.5,0.5,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.6,0.5,0.5,2.79,0.2,NA,NA
"66","Northampton Count",4.38,7.68,16.12,2.3,0,0,0,43.54,0.0858,0.0333,0.097,0.1767,0.1969,0.8217,0.3345,1.2547,4.2148,1.83,0.005,0.17,0.001,0.01,0.023,0.67,0,3.83,0.1,0.01,0.003,0,0.001,0.01,0.17,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.83,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.2,NA,NA
"67","Onslow",20.26,20.59,55.88,2.21,0,3,0,26.85,0.0908,0.0576,0.0873,0.3767,0.1978,0.6977,0.664,1.0514,3.6056,0,0.005,0.34,0.001,0.015,0.034,0.92,0,0.6,0.1,0.009,0.003,0,0.001,0.01,0.34,0.1,1,3.28,0.6,2,0.07,2.14,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.2,"880",583.5
