"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","TeCA","112TCA","DBCP","TDI","2Clacephen","2NP","PNP","CH3CN","Acetophenone","Acrolein","Acrylic_acid","C3H3N","Sb","Benzidine","Benzyl_Cl","Be","biphenyl","DEHP","Bromoform","Cd","CS2","CCl4","CS","Cl","C6H5Cl","chloroform","Chloroprene","Cr","Cresol","Cumene","CN","DBP","Diesel","DMF","Me2_phthalate","Me2SO4","ECH","Etacrylate","EtCl","EDB","EDC","EGLY","EOx","Glycol_ethers","HCB","HCBD","HCCPD","Hexane","N2H2","HCl","Isophorone","Pb","Mn","Hg","MeOH","MIBK","MMA","MeCl","Mehydrazine","MTBE","nitrobenzene","DMA","otoluidine","PAHPOM","PCP","PH3","P","PCBs","ProCl2","ProO","Quinoline","Se","Cl4C2","Toluene","C2HCl3","VyAc","VyCl","11DCE"
"2264","Delaware",21.187329695,13.224326414,1703.8180268,497.87514886,7611.965989,708.5186604,0.0259568319,0.0539812845,0.0000058743516,0.0003414694,0.00000037032723,0.00000026387526,0.000083622,0.0089008988,0.0001863717,0.0896408041,0.000242453,0.002135926,0.0002576274,0.000000007541292,0.0020837776,0.0000650061,0.0005839765,0.5375825444,0.0000020632532,0.0001531594,0.0029495128,0.498196407,0.0102405672,0.0042741648,0.0029511859,0.1501975907,0.000017646,0.0012252883,0.0079774785,0.0165848817,0.0946344755,0.0001022232,1.1891729026,0.005355058,0.0000213052,0.0000034301412,0.0000346558,0.0001804294,0.0133455059,0.0107548261,0.0264002929,0.2734642178,0.0114831608,0.0275409227,0.00000093859068,0.00000049484361,0.00000039589648,0.3423827615,0.0000012333748,0.1538428233,0.0000231587,0.0034051551,0.0014459689,0.0007246473,0.4259362006,0.4505522165,0.0007576738,0.9222697907,0.0000078649256,1.8427769331,0.0000446698,0.0001959608,0.00000067855539,0.0194701131,0.000000038463946,0.00000003320705,0.000000063645681,0.0001357794,0.0139555854,0.0010169698,0.0002218924,0.0003669039,0.1396145859,3.1891904441,0.1486653428,0.0022563728,0.0343478624,0.0002946598
"2265","Elk",7.6915117332,10.761029822,589.84282714,411.44244935,6595.238633,1042.5260837,0.0096081571,0.00000044192363,0.0000028833042,0.0000643565,0.000000032533613,0.000000005575556,0.0000057112222,0.0000088725926,0.0000028726212,0.0090437935,0.0000022537963,0.0021655888,0.0000044475878,0.000000054402025,0.0000023720731,0.0000442698,0.0000075475566,0.5370285816,0.0000001812587,0.0000483676,0.0000996998,0.5000588952,0.0000095369984,0.0002110736,0.0000238562,0.0846706364,0.0000020460222,0.0009429067,0.0004340929,0.0002718645,0.013065108,0.0000055338985,0.1842576859,0.0004368996,0.0000017024333,0.00000024870019,0.000000087262222,0.00000034686481,0.0006456084,0.0018006772,0.0076547632,0.0324709395,0.0019059731,0.003502735,0.00000028947593,0.000000014226889,0.000000011386556,0.045188704,0.00000011374605,0.3494247834,0.0000047459133,0.0020816952,0.0010427125,0.0007337301,0.3958422341,0.0845213049,0.0000179319,0.8410037776,0.0000030932628,0.0193244996,0.00000012541222,0.000005447,0.000000015262166,0.0033485542,0.00000064124444,0.00000080565629,0,0.0001626622,0.0040641965,0.0000180344,0.0006592116,0.0000682282,0.0362606453,0.7218099341,0.0909597892,0.0000210194,0.0030440078,0.0000143686
"2266","Erie",13.478174349,11.422425548,1184.5318146,497.29958432,8183.3646678,1212.4113357,0.0225504364,0.00000039220128,0.0000024973767,0.0007411689,0.000000007076079,0.000000070643416,0.0000377863,0.0000918718,0.0000180493,0.0244992535,0.00000098699568,0.002814014,0.0000016400029,0.000000033265951,0.0000024068723,0.0000298033,0.000042449,0.5369546861,0.000000039423924,0.0001489107,0.0011193876,0.4942260381,0.0074223491,0.0001208631,0.0001886376,0.0949156905,0.0000059693888,0.002176675,0.0006990419,0.0004296614,0.0366001681,0.0000914111,0.4003916255,0.0022637977,0.0002448301,0.00000035845855,0.0000014890023,0.00000050073293,0.0028939008,0.008882687,0.0147957726,0.0937755327,0.0027732395,0.0217235839,0.00000016645595,0.00000017217533,0.00000013769362,0.1173830665,0.00000074096322,0.9718995994,0.0000236564,0.00294853,0.0088149984,0.0005447966,0.2181296739,0.248473787,0.0001725837,0.8965274516,0.00000094738432,0.0361225189,0.000001543687,0.0000736725,0.00000033820609,0.0043138841,0.000000066565235,0.000000043412542,0.000000013945139,0.0001467417,0.0078365594,0.0001965719,0.0006668698,0.000060735,0.0939587777,1.7946394317,0.0634820071,0.0001072638,0.0188721592,0.0001069534
"2267","Fayette",16.321809742,11.603428101,1104.1892508,575.47116429,7729.9408183,1240.3725132,0.0168441749,0.0000173989,0.0000012601862,0.0008636264,0.0000004882128,0.000000079380153,0.000027596,0.0002135086,0.0000211113,0.0250957003,0.0000768435,0.0027511073,0.000025849,0.0000000066,0.0000345051,0.0000387646,0.0000555181,0.5370823482,0.0000027200428,0.0000666494,0.0019207776,0.4969568449,0.0000034673981,0.0000802937,0.0007523832,0.0628633075,0.0000306132,0.0016297923,0.0023191765,0.0008002424,0.0520709226,0.0000776561,0.3927132742,0.0015094419,0.0000109193,0.0000036325475,0.00000097488382,0.00000097344116,0.0022026328,0.0061899858,0.0117628353,0.0609363083,0.0026502123,0.0062699931,0.0000010524255,0.00000015821629,0.00000012657482,0.1171697643,0.0000443958,0.4965663164,0.0000283514,0.0022592408,0.0005079641,0.0005830369,0.117032465,0.0865784516,0.0001792046,0.8771056284,0.0000059763179,0.0556340647,0.0000014076845,0.0000647482,0.00000025516916,0.010098315,0.0000022018119,0,0.00000031171373,0.0002544066,0.0063405483,0.000187295,0.0007087859,0.0003479736,0.0754430275,1.4043820196,0.0647441146,0.0000956887,0.0120369944,0.0000928922
"2268","Forest",7.6214306361,10.608675264,665.67492856,533.03963335,5672.3318843,1092.4770654,0.002297508,0.00000001716582,0.0000025907751,0.0000142702,0.0000000025461505,0.0000000029355,0.0000021385,0.0000036636667,0.0000010630616,0.0082063083,0.0000010466342,0.0022029546,0.00000086646865,0.000000042529514,0.00000025633502,0.0000291678,0.0000068764187,0.5370093707,0.000000014185695,0.0000333984,0.0000456614,0.4967547093,0.00000019110736,0.0000134311,0.0000068645407,0.0499891471,0.00000023613333,0.0002459776,0.000439462,0.0000799318,0.0035057188,0.0000019331463,0.1621226411,0.0000453933,0.00000034145,0.000000031209317,0.000000046335,0.00000002082,0.0001272874,0.000547463,0.0016839395,0.0028435129,0.0014879065,0.0048364514,0.000000085531667,0.00000000764,0.0000000061115,0.0316087214,0.00000025582651,0.0416494563,0.0000448111,0.0004051398,0.0005646531,0.0005027459,0.0081832319,0.0065610828,0.0000024327152,0.8382977858,0.000000031467213,0.005821488,0.00000006606,0.0000025995,0.0000000045941667,0.0027160191,0.0000002007,0,0,0.0001372501,0.0008723203,0.0000087191667,0.0006882923,0.000034857,0.0227266138,0.590381044,0.0602339673,0.0000074577778,0.0000612445,0.0000043842648
"2269","Franklin",12.481258869,11.894105046,1080.8321397,489.74137214,7286.5438504,1790.5308698,0.0157629616,0.00000036975076,0.0000025263684,0.0024790709,0.000000026594526,0.00000010578902,0.000020044,0.0000881617,0.0001430691,0.0265384909,0.00000056037006,0.0019357213,0.0000371738,0.0000000098723867,0.0000031771379,0.0000299005,0.0003811496,0.5373164895,0.0000001481695,0.0000638104,0.0007586484,0.4968651516,0.0016111739,0.0001084743,0.0021469087,0.068767832,0.0000040729841,0.000085931,0.0065188788,0.0009230476,0.0379305997,0.0000172308,0.5016719696,0.0011815099,0.0000339342,0.00000040872766,0.00000077461219,0.00000033448985,0.0017683281,0.0053172601,0.0116190736,0.040424094,0.0036796372,0.0217502632,0.00000094702296,0.00000012575173,0.00000010060469,0.1342492704,0.00000009239272,0.0565761247,0.0000074915401,0.0053186227,0.0007530505,0.0005292995,0.2298223912,0.172962452,0.0010612145,0.8516887234,0.0000044463727,0.1037174654,0.0000011181954,0.0000511418,0.00000018965005,0.0203622532,0.0000015108462,0.0000115317,0.000000015788233,0.0002155389,0.0072816623,0.0001600191,0.0004976928,0.0000920116,0.0405190298,1.2059766391,0.0758165166,0.0001141771,0.0107769228,0.0000764097
"2270","Fulton",13.727205204,11.917148154,849.17472295,504.86545526,7239.9876646,1583.5908025,0.0020931585,0.00000013289611,0.0000021524007,0.0001437887,0.000000011344405,0.000000031465533,0.000003554,0.0000113718,0.0000317203,0.0151666312,0.00000057743991,0.0018696815,0.0000071905439,0.0000000091432927,0.0000010251448,0.00001931,0.0000673175,0.5372214117,0.000000063204541,0.0000359787,0.0001446609,0.4967311381,0.0000011995116,0.0000540818,0.0008380797,0.0528700513,0.00000074795111,0.0000810777,0.0019942513,0.0003013954,0.0097212723,0.0000034418609,0.3403908825,0.0001251326,0.000002171378,0.00000012088887,0.00000016128559,0.000000063292667,0.000281641,0.0005305366,0.0021206338,0.0080005987,0.0027337088,0.0113861071,0.00000023421096,0.000000023948333,0.000000019158,0.0493002288,0.00000014494663,0.0944353447,0.0000038465661,0.0010752429,0.0009898911,0.0005089391,0.0258404882,0.0357663312,0.0000831653,0.8397964674,0.00000019479105,0.024026417,0.00000020919333,0.0000087132667,0.000000017314111,0.0055263842,0.00000053886667,0.00000012705688,0.0000000011364915,0.0001553149,0.0018759741,0.0000459178,0.0005294355,0.0000320505,0.0259919092,0.4166040263,0.0662507663,0.0000259134,0.000064965,0.0000142501
"2271","Greene",16.755230013,11.821551948,1019.265527,919.15293691,9706.1835119,1979.8831661,0.0109821166,0.0000043520442,0.0000011444748,0.0002770108,0.00000039892475,0.000000070314625,0.0000126794,0.0003466941,0.0000071698924,0.017288558,0.0000114155,0.003225257,0.000014986,0.0000000066,0.0000275711,0.0000376204,0.0000351811,0.5370641448,0.0000022225807,0.0000547147,0.0022552911,0.4968059583,0.0013889955,0.0001554961,0.001533063,0.0558370408,0.0000027306667,0.0001678213,0.0017460208,0.0004125174,0.0256455418,0.0000655798,0.3932826996,0.0006376275,0.0000037409409,0.0000028794877,0.0000004912975,0.00000024446818,0.0008675413,0.0030395967,0.0081942813,0.0233564777,0.0021480535,0.0033791944,0.00000055248333,0.000000080006,0.000000064007625,0.0689654328,0.0000919062,0.3061447267,0.0000210359,0.0048972735,0.0005450036,0.00058349,0.0575667233,0.0478438462,0.0000482927,0.8438877891,0.0000046950782,0.0431814956,0.0000038501658,0.000031724,0.00000011952246,0.0095965866,0.0000011899501,0.00000040937232,0.0000126181,0.0001941017,0.0043456576,0.000136428,0.0007272267,0.0002433699,0.0379378358,0.787194608,0.0520680517,0.0000434829,0.0047783118,0.0000462361
"2272","Huntingdon",12.828079338,11.944613324,1085.8772096,467.91653508,7716.998004,1423.486756,0.0104431202,0.0000000896925,0.0000026515053,0.000287564,0.000000002834869,0.000000016034917,0.0000049394167,0.0000841683,0.0000025508947,0.0125523533,0.0000171571,0.0018049596,0.0000083412588,0.000000020567133,0.00000089278512,0.0000238816,0.0000228345,0.5371306744,0.000000015794268,0.0000399254,0.0002425416,0.4974191263,0.0000004587848,0.0002620767,0.0000348309,0.0542946888,0.0000231666,0.0001036269,0.0006803881,0.0003087069,0.0157601531,0.0000057370019,0.3286397323,0.0003397443,0.0000027383498,0.000000093232594,0.00000026642316,0.0001046609,0.0005620869,0.0024104384,0.0083522785,0.0115354444,0.0026153115,0.0087395464,0.00000048936641,0.000000040756667,0.0000000326,0.0592108621,0.000000086874599,0.1306353145,0.0007815336,0.0011257396,0.0005722596,0.0005097491,0.0457206094,0.0223624813,0.0000356182,0.8403298149,0.0000068147082,0.0186721601,0.0000004330218,0.0000162323,0.000000060352556,0.0057978111,0.00000092639167,0,0,0.0001763517,0.0050961029,0.0000446268,0.0006053144,0.0000393348,0.0368358665,0.6773674632,0.0749399011,0.0000268745,0.0040838281,0.000023534
"2273","Indiana",12.150086591,10.725714278,1552.5114355,539.07461336,7839.44961,1216.7617839,0.017497721,0.00000088473323,0.0000019786632,0.0015005206,0.0000011171794,0.000000020399913,0.0000313809,0.0000461871,0.000017332,0.0204349543,0.0000150374,0.0023159464,0.0000181317,0.000000017334844,0.000072626,0.0000458883,0.0000521255,0.5373437527,0.0000062242859,0.0000860971,0.000356287,0.4967513461,0.0000045178441,0.0000328576,0.000066217,0.0800900607,0.0000780798,0.0004333009,0.0014132788,0.0008551386,0.0575187676,0.0000270475,0.3780515787,0.0021741109,0.0000099539325,0.0000077555201,0.00000032433944,0.00000028133221,0.0027683678,0.0064140804,0.012176662,0.0580643856,0.0026153909,0.0076288754,0.000001193329,0.000000052693043,0.000000042161304,0.1579926646,0.0000094907766,0.8451097894,0.0001690463,0.0009948939,0.0010561013,0.0006555415,0.1464050231,0.2357033883,0.0000928549,0.8543270251,0.000014511,0.0692617316,0.00000045970936,0.0000189198,0.000000039009029,0.0146258302,0.0000026476261,0.00000746725,0,0.0002710689,0.0065751024,0.000060829,0.0007386068,0.0003085333,0.0459865535,1.3062137172,0.0686464737,0.0001013778,0.012793103,0.0000324969
