"","County","Air_EQI","Water_EQI","Land_EQI","SocioDemo_EQI","Built_EQI","EQI","Cases","Incid_Rate"
"62","Montgomery",0.2112772,0.9894763,0.3918597,-0.9142382,-0.8100262,-0.2764822,"184",494.8
"63","Moore",0.5422752,1.069216,-0.194782,0.6580662,0.6513156,0.8246064,"711",517.8
"64","Nash",0.9701491,1.00959,-0.342536,0.2882531,0.5328237,0.736726,"497",420.8
"65","New Hanover",1.064707,1.029107,-0.256819,0.4690348,1.059106,1.058002,"1,063",429.1
"66","Northampton",-0.0355662,1.013278,-0.6125306,-1.169223,-0.3735866,-0.5767983,"151",471.9
"67","Onslow",0.448637,1.047952,-1.384386,-0.0817578,-0.1374464,-0.1138604,"642",490.9
"68","Orange",1.000372,1.022552,0.3151525,0.8952935,1.175766,1.399412,"604",450.4
"69","Pamlico",-0.2596542,0.9878948,-0.3388244,-0.39103,-0.1565879,-0.2063972,"116",525.7
"70","Pasquotank",0.5900608,0.8780293,0.3822,-0.4525962,0.8178632,0.60123,"206",437.5
"71","Pender",0.1134023,1.02565,-1.165171,0.2725146,-0.6345991,-0.2190895,"313",442.6
"72","Perquimans",-0.1458519,0.9323261,0.2455919,-0.5029892,-0.533976,-0.194534,"108",495.5
"73","Person",0.7554572,1.046328,0.2958869,0.3382338,0.0002095,0.6719215,"235",459.1
"74","Pitt",0.9098883,1.068631,-0.5739462,-0.3286947,0.3579352,0.362327,"639",393.5
"75","Polk",0.5453077,0.9820249,-0.1388201,0.5535113,0.0809805,0.5773181,"130",372.3
"76","Randolph",1.358316,1.045526,0.3088241,0.2956015,-0.3964061,0.7250296,"886",511.7
"77","Richmond",0.533362,1.042533,-0.3173948,-0.6023477,0.2967928,0.1704652,"262",469.7
"78","Robeson",0.7375834,1.03443,-1.155093,-1.210328,-0.1932538,-0.4043984,"599",410.7
"79","Rockingham",0.9210267,1.036744,0.1741126,0.0052109,-0.0571489,0.5455039,"694",549
"80","Rowan",1.342406,1.059484,0.4996029,0.1162197,0.1887512,0.9194345,"872",515.9
"81","Rutherford",0.9494533,1.113413,-0.0895725,-0.2626936,0.3800999,0.5528112,"454",488.6
"82","Sampson",0.2656606,1.112751,-0.6231894,-0.3891065,-0.4551051,-0.1868183,"336",433.4
"83","Scotland",0.6130328,0.1040975,-1.12029,-0.8199042,0.1536846,-0.336888,"256",600.4
"84","Stanly",0.9543202,1.055382,0.5495213,0.0658052,0.1107393,0.7494925,"339",445.8
"85","Stokes",0.5683514,1.133268,0.1813973,0.4935662,-1.098613,0.2507645,"321",484.2
"86","Surry",0.7337503,1.031631,0.2413858,0.0105443,0.3321764,0.6416581,"518",511.7
"87","Swain",-0.2473282,0.1543074,-0.3855466,-1.252151,1.011572,-0.2763664,"105",553.7
"88","Transylvania",0.4453035,1.064479,-0.1873167,0.3750819,0.3787526,0.5843824,"257",442.4
"89","Tyrrell",-0.8241576,0.5648559,-0.102132,-1.324537,-1.241885,-1.169279,"21",382
"90","Union",1.067802,1.036757,0.4630077,1.350833,-0.3492287,1.086426,"1,004",485.6
"91","Vance",0.6709036,0.9988605,0.0584986,-0.5843804,-0.1583821,0.1562267,"257",472.3
"92","Wake",1.227949,1.139227,-0.0689992,1.571886,1.010646,1.592805,"3,964",451.5
"93","Warren",-0.0101162,1.064875,-0.4096084,-0.8591383,-1.321564,-0.7278459,"143",467.7
"94","Washington",0.0472011,1.056279,0.0162416,-0.9950324,0.1397615,-0.1111841,"84",452.5
"95","Watauga",0.5659671,1.092831,0.4577231,-0.225222,1.410464,0.9568952,"241",444.9
"96","Wayne",0.8909265,1.058373,-0.6468177,-0.1739916,0.2338212,0.3475965,"668",476
"97","Wilkes",0.5400831,1.072086,-0.1985717,0.0212765,-0.2591164,0.2480978,"420",429.6
"98","Wilson",1.008497,1.016868,-0.7575459,-0.5828522,0.452676,0.2729716,"450",447.5
"99","Yadkin",0.4138201,1.027247,0.0840535,0.394453,-0.8462492,0.2037036,"234",456.1
"100","Yancey",0.0510729,0.9805539,0.1954662,-0.4616922,-0.835059,-0.2244846,"111",387.4
