"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate","Instances","Instance Rate"
"85","Stokes",0.0097985,0.1211869,0.0007828,0.1,0.0002237,0.0001342,0.0004026,0.0007157,0.0014761,0.0012525,0.0000895,0.0000224,0.0000224,0,"311",450.5
"86","Surry",0.05051921,0.11733834,0.0006319,0.2,0.0001825,0.0004353,0.000337,0.0009408,0.0021202,0.0030189,0.0002808,0.0000983,0.0000281,0.0042124,"513",489.3
"87","Swain",0.08577339,0.07479194,0.0003856,0,0.0006169,0.0013109,0.0009254,0.001388,0.0037014,0.0023134,0.0008482,NA,0.0003856,0,"96",496.9
"88","Transylvania Coun",0,0.12861357,0.0005114,0.2,0.0001023,0.0005114,0.0004773,0.0011591,0.0019772,0.0023863,0.0003068,0.0001023,0.0001364,0.0055567,NA,NA
"89","Tyrrell",0,0.21115196,0.000241,1.2,NA,NA,0.000482,0.000482,0.0021692,0.0012051,0.0012051,NA,0.000241,0,"29",510.4
"90","Union",0.02198818,0.11223756,0.00038,0.4,0.0000809,0.0002021,0.0006307,0.0007681,0.0013422,0.0015605,0.000186,0.000097,0.0000404,0.0042368,"1,222",482.1
"91","Vance",0.07084008,0.06732519,0.0007217,0.3,0.0000698,0.0000931,0.0006519,0.0006984,0.0016297,0.0019556,0.0001164,0.000163,0.0000698,0.0134795,"282",474.6
"92","Wake",0.05147661,0.16191664,0.0002994,1.2,0.0002198,0.000524,0.0007757,0.0009604,0.0021072,0.0032715,0.0002214,0.00018,0.0001051,0.0111986,"5,269",480.8
"93","Warren",0.02307723,0.14270784,0.0013018,0.4,0.0000501,0.0001001,0.0004506,0.0003004,0.0009013,0.0013018,0.0001001,0.0000501,0.0000501,0,"153",473.3
"94","Washington",0,0.28118139,0.0002915,0.9,NA,0.0003644,0.0008744,0.0008744,0.0018218,0.0016031,0.0002186,0.0001457,0.0001457,0.0664578,"72",361.5
"95","Watauga",0.03366372,0.06246463,0.0005387,0.8,0.0000937,0.0007963,0.0005387,0.0012179,0.0035133,0.0041223,0.0005621,0.0001171,0.0001874,0.0474997,"254",396.7
"96","Wayne",0.04236071,0.13794134,0.0007765,0.4,0.0002294,0.0001941,0.0005647,0.0009265,0.0017736,0.0021177,0.00015,0.0000882,0.0000882,0.0194037,"732",486.9
"97","Wilkes",0.03472225,0.09339674,0.0006552,0,0.0001219,0.0001676,0.0004114,0.0008685,0.001935,0.0023617,0.0001676,0.0000914,0.0000609,0.0031082,"475",460.2
"98","Wilson",0.05637519,0.19140646,0.000569,1,0.0001761,0.0002845,0.0004877,0.000718,0.002005,0.0020999,0.0001626,0.0001626,0.0000948,0.0192104,"471",431.2
"99","Yadkin",0.06519236,0.08544742,0.0007428,0.2,0.000055,0.0002751,0.0004952,0.0004952,0.0016232,0.0015682,0.0001376,0.00011,NA,0,"252",464.6
"100","Yancey",0,0.148115,0,0.4,NA,0.0005626,0.000225,0.0003376,0.0016316,0.0015753,0.000225,0.0000563,0.0002813,0,"145",480.5
