"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate","Instances","Instance Rate"
"54","Lenoir",33.01484,12.22042,82600,31191,16.6,5.3,71.9,8,20.3,5.2,2.8,1127.2,"427",539.6
"55","Lincoln",21.48413,6.51709,104500,41421,9.2,6.8,71.7,3.9,52.1,5.4,0.9,0,"568",502.7
"56","McDowell",22.81378,9.647929,72000,32396,11.6,4.4,70.2,4.5,25.3,5.1,1.1,0,"344",523.6
"57","Macon",18.6701,38.16639,103700,32139,12.6,3.5,77.3,4.9,16.9,5.2,0.7,0,"288",452
"58","Madison",23.4625,17.7124,94600,30985,15.4,3.4,69.3,5.2,54.2,5.1,1.3,524.51431,"145",435.7
"59","Martin",28.21357,8.325709,68400,28793,20.2,3.1,70.7,8,41.7,5.4,1.1,566.7034,"187",518.6
"60","Mecklenburg Count",37.68031,6.61384,141800,50579,9.2,13.1,86.2,5.2,9.2,5.4,16,468.47501,NA,NA
"61","Mitchell",19.14212,17.27491,78800,30508,13.8,3.9,68.6,4.1,30.5,5.3,1.1,517.16942,"107",428.5
"62","Montgomery",23.47685,30.37823,77200,32903,15.4,12.2,64.2,5.1,29.6,5,0.6,656.8629,"187",485.4
"63","Moore",21.39159,12.62553,131100,41240,11.4,6,82.6,5.5,23.9,5.7,2.5,372.14999,"767",496.9
"64","Nash",32.29996,9.195434,95800,37147,13.4,6,75.6,5.5,31.4,5.3,2.5,0,"484",388
"65","New Hanover Count",35.29912,14.36018,135600,40172,13.1,5.4,86.3,5.7,9.7,5.3,10.9,1273.1,NA,NA
"66","Northampton Count",23.19641,16.87231,57500,26652,21.3,2.6,62.5,8.6,58,5.3,0.7,582.65094,NA,NA
"67","Onslow",41.88105,13.64534,85900,33756,12.9,9.4,84.3,6.9,12.1,5.1,3.4,188.5,"880",583.5
"68","Orange",42.44816,6.950841,179000,42372,14.1,11.9,87.6,3.7,42.4,5.1,17.3,401.54999,"751",473.5
"69","Pamlico",17.86404,23.63958,89900,34084,15.3,4.9,75.2,5.7,48.1,5.3,0.2,553.9311,"111",458.7
"70","Pasquotank",34.27597,9.671776,85500,30444,18.4,4,76.8,9.8,22.9,5.6,3,838.59998,"177",351.8
"71","Pender",17.40376,22.80989,113400,35902,13.6,5.4,76.8,5.7,61.8,5.3,1.7,0,"358",432.4
"72","Perquimans",21.39935,23.1342,82800,29538,17.9,2.3,71.9,5.9,62.2,5.4,0.9,544.39567,"76",328.4
"73","Person",25.38871,9.152476,90400,37159,12,3.7,74.9,4.7,41.9,5.4,0.6,0,"284",511.5
