"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co","Instances"
"87","Swain",15.732513368,12.719965861,1599.3457255,624.41113159,9411.043597,1087.0164749,0.5,0.5,0.5,0.0003574627,0.0005023807,0.007,0.015,0.0000280879,0.0000479446,0,0,0.0034287954,0.0000115734,0.5,0.5,0.5,0.0044840033,0.0000000066,0,0,0,0.000190746,118.6416,57.12,25.99085,76.61,28608,18.3,86800,10.1,70.5,0.1,5.1,528.79279,28.5,"105"
"88","Transylvania",13.74050177,12.324381771,1178.3227757,881.96275232,9926.6315528,1155.0366742,0.5,0.5,0.5,0.0004740833,0.0005096392,0.005,0.016,0.0000429633,0.000073572,0.1,0.1,0.0044948207,0.0000576181,0.5,0.5,0.5,0.0037549681,0.000000008911596,0.1,0.1,0.1,0.001806548,187.20498,4.76,23.1316,57.59,38587,9.5,122300,4.9,82.5,0.7,5.5,594.17773,21.6,"257"
"89","Tyrrell",7.1781736015,9.0418990916,162.43220354,344.56693102,3985.3915059,1610.3717637,0.5,0.5,1.3,0.0003686933,0.0005003591,0,0,0.0000256143,0.0000458856,0.1,0.1,0.0008757076,0.0000048530252,0.5,0.5,0.5,0.0007475621,0.00000030886334,0.1,0.1,0.1,0.000513632,114097.0522,11162.9068,12975.82751,8.75,25684,23.3,59000,6.1,66.3,0.3,5.1,520.67948,39.8,"21"
"90","Union",15.865686287,12.135366465,1001.7745509,279.01172782,7618.3817056,1050.7414513,0.5,0.5,0.5,0.0012587574,0.0006009292,0.005,0.02,0.0000392229,0.0003550603,0.1,0.1,0.0045896714,0.0047363539,0.5,0.5,0.5,0.0019772383,0.00000031573842,0.1,0.1,0.1,0.094555203,137849.6917,1609.920885,12521.18976,35.13,50638,8.1,128500,4.3,80.2,1.1,5.8,0,46.7,"1,004"
"91","Vance",13.50067022,11.667238072,439.62144684,336.1935202,6727.482561,2009.2554565,0.5,0.5,0.5,0.0009438469,0.0005103307,0.005,0.009,0.000054351,0.0000723567,0.1,0.1,0.0021890964,0.0065546677,0.5,0.5,0.5,0.0012953753,0.0000016564927,0.1,0.1,0.1,0.002791213,6876.74396,113.6568,421.94415,55.53,31301,20.5,82200,8.3,68.1,1.9,5.2,0,29.9,"257"
"92","Wake",19.941235368,12.899035099,461.51032706,324.23628439,8765.2300355,2826.6464783,0.5,0.78,2.69,0.0012345932,0.0005188653,0.006,0.014,0.0000357038,0.0006588708,0.1,0.1,0.002899101,0.0185123972,0.9,0.89,0.53,0.0014976622,0.000001146345,0.42,0.1,0.1,0.002203605,13243.8203,132.06,778.84296,14.45,54988,7.8,162900,3.9,89.3,12.3,5.6,319.6875,19.5,"3,964"
"93","Warren",12.253946191,11.482359557,366.89994916,357.30769005,6510.1570665,1997.3151043,0.5,0.5,0.5,0.0004352891,0.0005030765,0.005,0.02,0.0000322085,0.0000686444,0.1,0.1,0.0017870789,0.000032729,0.5,0.5,0.5,0.0011053675,0.0000012604777,0.1,0.1,0.1,0.003943218,5775.63637,90.3546,371.87567,73.03,28351,19.4,80500,8.3,67.5,1.1,5.5,605.25849,55.1,"143"
"94","Washington",8.273527612,9.7219570346,202.48779986,455.26008467,5410.9516578,1741.00288,0.5,0.5,5.07,0.0005679553,0.0005570754,0.005,0.02,0.0000531386,0.0000871234,0.1,0.1,0.0010403938,0.0000189751,0.5,0.5,0.5,0.0008130102,0.00000042322562,0.1,0.1,0.1,0.00591658,113701.9143,14673.8902,13814.56525,23.33,28865,21.8,69400,7.1,69.9,0,5.6,716.70001,32.6,"84"
"95","Watauga",12.537522616,11.999971732,887.28335666,343.44007866,6917.4543572,1323.3649011,0.5,0.5,2.77,0.001091325,0.0005237291,0.005,0.017,0.0000705646,0.0002609491,0.1,0.1,0.0033958365,0.0050271094,0.5,0.5,0.5,0.0023353834,0.00000017430674,0.1,0.1,0.1,0.010227473,61.01886,90.44,26.15605,32.49,32611,17.9,139300,8.2,81.6,9.4,5.2,122.1,13.8,"241"
"96","Wayne",18.751189808,13.52874756,338.39236803,285.60655684,7776.5583294,1674.5273833,0.5,0.5,1.05,0.0007233725,0.0005136883,0.005,0.014,0.000038623,0.000069489,0.1,0.1,0.0021758101,0.0086240725,0.5,0.5,0.5,0.0011519303,0.00000076039952,0.1,0.1,0.1,0.03865201,110921.7708,801.6468,9305.63733,11.1,33942,13.8,87600,6.3,77.2,1.9,5.3,783,18.5,"668"
"97","Wilkes",13.915342857,12.253123542,890.38080715,276.58928703,6935.7652761,1399.5987035,0.5,0.5,0.5,0.000584777,0.0005145327,0.005,0.019,0.0000372515,0.0000717329,0.1,0.1,0.003499571,0.0021947976,0.7,0.5,0.5,0.0021066001,0.00000031133927,0.1,0.1,0.1,0.038609642,3155.58016,25.6744,355.83423,47.01,34258,11.9,89200,3.8,66,1.1,5.2,0,21.8,"420"
"98","Wilson",15.703471199,11.495845747,354.89720155,314.98963087,7453.8647084,1957.7167778,0.5,0.5,0.5,0.0006539212,0.0005175062,0.005,0.01,0.0002346618,0.0000630435,0.1,0.1,0.0020160303,0.0096003431,0.5,0.5,0.5,0.0011637884,0.00000090142093,0.1,0.1,0.1,0.005364753,45684.30638,230.0176,2733.98577,32.28,33116,18.5,86400,7.2,69.4,2.9,5.2,764.70001,20.2,"450"
"99","Yadkin",16.020242286,12.227304596,1124.9698806,279.69757589,6670.4966363,1491.9558503,0.5,0.5,1,0.0004941585,0.0005122318,0.005,0.016,0.0000327647,0.0000794904,0.1,0.1,0.0030824037,0.0000715255,0.5,0.5,0.5,0.0018953841,0.00000047491388,0.1,0.1,0.1,0.066367707,31819.25325,121.4526,2569.88153,73.45,36660,10,90600,3.1,72,0.7,5.2,0,56.1,"234"
"100","Yancey",14.178430681,12.596616481,1149.2195614,452.87398529,7023.7564352,1312.9792027,0.5,0.5,0.5,0.0003799581,0.0005072313,0.008,0.006,0.0000330302,0.0000566182,0.1,0.1,0.0037517231,0.0000483379,0.5,0.5,0.5,0.0026858031,0.000000061643815,0.1,0.1,0.1,0.003912363,41.38872,52.36,15.871,84.92,29674,15.8,93000,4.5,71.1,1.4,5.2,538.62687,34.5,"111"
