"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate"
"68","Aleutians East Bo",0,0,0,1.1,NA,NA,0.0003708,0.0003708,0.0003708,0.0007416,NA,0.0003708,0.0003708,0
"69","Aleutians West Ce",0,0,0,3.2,NA,NA,0.000183,NA,0.0007319,NA,NA,0.000183,NA,0
"70","Anchorage Borough",0.05156629,0.13803435,0.0002152,2,0.0004649,0.0005955,0.0006685,0.0007953,0.0019709,0.0037229,0.0003996,0.0001345,0.0001383,0.0214651
"71","Bethel Census Are",0,0,0.000125,6.1,0.0000625,0.0000625,0.0004373,0.0003749,0.0012495,0.0012495,0.000125,0.000125,0.0001874,0
"72","Bristol Bay Borou",0,0,0,0,0.0023847,NA,NA,NA,0.0031797,0.0031797,0.0023847,NA,NA,0
"73","Denali Borough",0.10732668,0.03228908,0,6.9,0.0005283,0.002113,0.0005283,NA,0.0026413,0.0015848,0.0005283,0.0005283,0.0010565,0
"74","Dillingham Census",0,0,0.0008127,1.9,0.0002032,0.0004063,NA,NA,0.0006095,0.0020317,0.0004063,0.001219,0.0006095,0
"75","Fairbanks N. Star",0.05088694,0.08796199,0.0001931,0.7,0.0005915,0.000845,0.0008812,0.0006398,0.0017624,0.0031386,0.0005191,0.0002414,0.0000966,0
"76","Haines Borough",0,0.25851121,0,2.3,0.0004181,0.0045987,0.0008361,0.0012542,0.0050167,0.0029264,0.0008361,0.0004181,NA,0
"77","Juneau Borough",0,0.23187783,0.0001302,4.3,0.0002279,0.0005861,0.0004559,0.0003582,0.0013676,0.0026375,0.0004233,0.0000977,0.0001302,0
"78","Kenai Peninsula B",0,0.10028604,0.000644,0.4,0.0006842,0.0008653,0.0007446,0.0008653,0.0026564,0.0030187,0.0006842,0.0002415,0.0001006,0
"79","Ketchikan Gateway",0,0.06694807,0,2.6,0.0001421,0.0003554,0.0000711,0.0002843,0.0006397,0.0001421,0.0000711,0.0000711,0.0001421,0
"80","Kodiak Island Bor",0,0,0,1.2,0.000575,0.0006469,0.0008625,0.000575,0.0018688,0.0022281,0.0007906,0.0002875,0.0001438,0
"81","Lake and Peninsul",0,0,0,0,NA,NA,NA,NA,0.0016456,0.0049369,0.0010971,0.0005485,0.0005485,0
"82","Matanuska-Susitna",0.10575083,0.1147317,0.001062,0.6,0.0005057,0.0006743,0.0008091,0.000708,0.0013486,0.0024106,0.0004214,0.0001854,0.0000843,0
"83","Nome Census Area",0,0,0.0002175,1.4,0.0005437,0.0001087,0.0005437,0.0005437,0.0014137,0.0015224,0.0002175,0.0005437,0.0002175,0
"84","North Slope Borou",0,0,0,10.6,NA,0.0004062,0.0002708,0.0001354,0.0014895,0.0009479,NA,0.0002708,0.0001354,0
"85","Northwest Arctic",0,0,0,0.5,NA,0.0001387,0.0002775,0.0002775,0.0009711,0.0008324,0.0002775,NA,NA,0
"86","Prince of Wales -",0,0.14788514,0,1.1,0.0003254,NA,0.0003254,0.0006508,0.0009762,0.0003254,0.0004881,0.0006508,0.0001627,0
"87","Sitka Borough",0,0,0.0002264,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"88","Skagway-Hoonah-An",0,0.06716773,0,2.5,0.0005821,0.0011641,0.000291,0.0011641,0.0029104,0.0005821,0.0011641,0.000291,NA,0
"89","Southeast Fairban",0.29079325,0,0.0004859,0.3,0.0006479,0.0009718,0.0003239,0.0011338,0.0019436,0.0017817,0.0006479,0.0003239,0.000162,0
"90","Valdez-Cordova Ce",0.09952067,0.10695407,0.0003923,1,0.001177,0.001079,0.0007847,0.001177,0.0021579,0.0025503,0.001079,0.0005885,0.0004904,0
"91","Wade Hampton Cens",0,0,0,0.3,NA,NA,0.0008537,NA,0.0005692,0.0001423,NA,NA,0.0002846,0
"92","Wrangell-Petersbu",0,0.1642757,0.0002992,0.7,NA,0.0001496,0.0001496,0.0001496,0.0008977,0.0004488,0.0002992,0.0005984,NA,0
"93","Yakutat Borough",0,0,0,3.7,NA,NA,0.0012376,0.0012376,0.0012376,0.0024752,0.0024752,0.0049505,NA,0
"94","Yukon-Koyukuk Cen",0.00659986,0,0.0007632,0.5,0.0010685,0.0001526,NA,NA,0.0018318,0.0021371,NA,0.0001526,0.0003053,0
"95","Apache",0.02953074,0.08675449,0.0016133,0.6,0.0000576,0.000144,0.0002737,0.0003601,0.0006338,0.0007778,0.0001296,NA,0.0000144,0
"96","Cochise",0.03444986,0.12068151,0.0013418,0.3,0.0004331,0.0004925,0.0003227,0.0006369,0.0018513,0.0022504,0.0002038,0.0001529,0.0000594,0.0058257
"97","Coconino",0.02246414,0.04535301,0.0012036,0.7,0.0002837,0.0009285,0.0007565,0.0010918,0.0025791,0.0041781,0.0004642,0.0001547,0.000086,0.005803
"98","Gila",0.07485794,0.08689237,0.0007987,0.3,0.0003312,0.000487,0.000487,0.0007987,0.0020454,0.0030389,0.0003312,0.0001558,0.000039,0.0010324
"99","Graham",0.03496548,0.05339257,0.0010153,0.3,0.0002687,0.0004479,0.0004778,0.0005674,0.0013139,0.0022395,0.0002389,0.0000597,0.0000896,0
"100","Greenlee",0,0.12149644,0.000234,0.2,0.000351,0.000117,0.000234,0.000936,0.001053,0.001287,NA,NA,NA,0
"101","La Paz",0.06363407,0.11691779,0.0062896,0,0.0006087,0.0004565,0.0004565,0.000913,0.0020796,0.0015724,0.0004058,0.0002029,0.0001522,0
"102","Maricopa",0.0470512,0.16130216,0.0004023,2.1,0.0002438,0.0003854,0.0004795,0.0007119,0.0016838,0.0031232,0.0002129,0.0000947,0.0000469,0.0053497
"103","Mohave",0.04829024,0.09696319,0.0011998,0.6,0.0003677,0.0003806,0.000387,0.0007418,0.0015803,0.0029865,0.0003677,0.0001161,0.0000839,0.0018319
"104","Navajo",0.03233468,0.12404137,0.0012004,0.7,0.0002257,0.0004412,0.000318,0.0007182,0.0013235,0.0019083,0.0001949,0.0000718,0.0000513,0.0018775
"105","Pima",0.02719443,0.13541781,0.000429,2.5,0.000224,0.0004444,0.0004018,0.0006578,0.0015194,0.0030661,0.0001861,0.0000877,0.0000747,0.0080996
"106","Pinal",0.06275408,0.11535445,0.0010572,0.2,0.0002559,0.0003171,0.0003171,0.0005453,0.0011851,0.0015023,0.0001168,0.0000445,0.0000501,0.0053526
"107","Santa Cruz",0.03710103,0.09147832,0.0003387,0.8,0.0001563,0.0004429,0.0003387,0.0005732,0.0026315,0.0016154,0.0000782,0.0001563,0.0000261,0.0108908
