"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate"
"1","Autauga",19.17141,9.393047,94800,42013,10.9,2.8,78.7,4.9,60.3,5.8,1.3,428.29999
"2","Baldwin",20.4207,25.50851,122500,40250,10.1,4,82,4.3,27.3,5.3,12.4,482.54999
"3","Barbour",26.84216,16.46738,68600,25101,26.8,3.6,64.7,5.7,16.5,5.3,0.9,342.10001
"4","Bibb",19.80865,11.0725,74600,31420,20.6,1.8,63.2,6.2,59.4,5.4,2,502.25555
"5","Blount",16.51181,8.94697,86800,35241,11.7,5.6,70.4,4.8,59.7,5.5,0.7,0
"6","Bullock",25.56448,15.6759,56600,20605,33.5,6.1,60.5,8.6,33.9,5.2,2.5,512.31066
"7","Butler",23.81519,15.65733,57700,24791,24.6,2.2,67.8,10.6,27.6,5.4,1.5,547.43679
"8","Calhoun",27.50568,11.72012,71600,31768,16.1,3.5,73.9,6.6,15.5,5.4,3.9,1453.1001
"9","Chambers",24.30795,10.66683,58900,29667,17,2.3,64.2,6.5,40,5.4,0.9,604.44792
"10","Cherokee",18.28377,30.70232,76100,30874,15.6,2.1,63.5,3.9,53.6,5.2,0.8,564.30221
"11","Chilton",17.76673,13.39301,81800,32588,15.7,3.6,66.2,4.3,52.7,5.4,0.4,0
"12","Choctaw",13.65708,18.82893,60500,24749,24.5,2.1,65,8.8,35.5,5.4,1.2,492.72954
"13","Clarke",18.85044,16.25366,67900,27388,22.6,2.1,70.8,8.9,24.7,5.4,2,513.33219
"14","Clay",22.79272,12.81004,62200,27885,17.1,2.8,66,5.5,34.1,5.3,0.6,556.77977
"15","Cleburne",19.57066,9.678462,71300,30820,13.9,2.6,62.9,5.3,60.1,5.3,0.6,588.85909
"16","Coffee",28.61489,12.17926,76600,33664,14.7,5.1,73.2,5.7,35.3,5.5,1.3,341.70001
"17","Colbert",24.28654,10.08407,72300,31954,14,2.3,73.3,5.2,34.9,5.7,2,232.8
"18","Conecuh",18.93992,20.27529,58600,22111,26.6,2,67.7,9.8,46.9,5.4,1.2,540.63379
"19","Coosa",15.18582,23.77076,59500,29873,14.9,1.8,65.7,7.1,75,5.4,0.1,559.80909
"20","Covington",22.28261,15.8144,56700,26336,18.4,2,68.4,7.6,17.8,5.3,1.2,516.35424
"21","Crenshaw",23.36382,16.0596,51300,26054,22.1,1.8,60.1,5.4,51.4,5.2,0.6,505.96169
"22","Cullman",21.93382,12.84875,85000,32256,13,3.4,70.4,4.1,28.5,5.3,2.3,106.2
"23","Dale",35.7612,13.32017,69000,31998,15.1,6.2,77.8,7.7,35.6,5.3,2,517.63063
"24","Dallas",34.30862,12.75795,64100,23370,31.1,2.5,70.3,11.2,13.8,5.3,1.2,1783.1
"25","DeKalb",21.27185,10.47378,67200,30137,15.4,6.6,63.8,5.1,25.1,5.4,0.8,383.10001
"26","Elmore",18.60404,11.64264,98000,41243,10.2,3.1,77.6,5,66.5,5.7,1.4,0
"27","Escambia",22.93488,13.58196,66700,28319,20.9,2.4,68.5,7,22,5.4,1.9,523.49916
"28","Etowah",25.61096,9.451902,71200,31170,15.7,3,74.1,6,24.8,5.6,2.9,1820.8
"29","Fayette",22.78126,11.55571,64100,28539,17.3,1.5,66.1,7.7,40.4,5.3,2.7,433.33643
"30","Franklin",25.68725,10.83715,62800,27177,18.9,7.7,62.1,5.6,34.9,5.3,2.2,363.72467
"31","Geneva",19.38532,13.52043,55900,26448,19.6,2.1,65.6,8,49.4,5.4,0.6,521.61429
"32","Greene",24.39583,23.17764,57000,19819,34.3,1.8,64.8,13.1,51.7,5.2,3.2,479.56023
"33","Hale",19.78176,17.28984,66300,25807,26.9,2,65.2,8,51.8,5.3,1.5,455.85742
"34","Henry",19.09579,18.81299,69100,30353,19.1,2.8,66.7,6.3,53.7,5.3,1,521.49397
"35","Houston",30.53246,9.443785,82000,34431,15,3,76.5,5.2,12.3,5.4,4.3,364
"36","Jackson",22.06801,10.56355,72400,32020,13.7,2.1,67,5.1,31.8,5.3,1.9,114.2
"37","Jefferson",33.53389,8.639932,90700,36868,14.8,4.6,80.9,6.3,9.3,5.6,13.4,429.17999
"38","Lamar",23.12925,13.95504,55200,28059,16.1,1.9,65.1,7.1,36,5.3,0.5,396.09815
"39","Lauderdale",26.75682,10.7263,85000,33354,14.4,2.5,76.4,5.6,29.5,5.6,5.2,472.89999
"40","Lawrence",16.93012,9.800786,75000,31549,15.3,2.5,65.6,6.2,62.5,5.4,0.8,0
"41","Lee",37.91081,9.193507,104100,30952,21.8,5.1,81.4,5.8,31.8,5,12.3,944.34998
"42","Limestone",22.70334,8.212811,86400,37405,12.3,4,74.5,4.3,46.1,5.5,3,120.2
"43","Lowndes",16.56142,15.37666,55500,23050,31.4,1.7,64.3,11.9,69,5.4,0.3,526.7788
"44","Macon",32.71508,15.78056,64200,21180,32.8,4.7,70,12.3,47.3,5.3,3.3,694.5
"45","Madison",30.13869,8.590217,103300,44704,10.5,5.5,85.4,5.7,5.8,5.8,8.6,395.69998
"46","Marengo",20.79389,13.42945,65900,27025,25.9,2.5,71.9,8.7,29.2,5.5,2.3,525.09317
"47","Marion",22.14696,11.92425,63500,27475,15.6,2.4,63.2,8.1,30,5.3,1.8,404.80302
"48","Marshall",25.26807,10.41535,80900,32167,14.7,5.8,69.4,5.7,26.1,5.4,1.4,0
"49","Mobile",31.1475,9.038104,80500,33710,18.5,4.6,76.7,7.6,8.1,5.5,7.1,1107.7
"50","Monroe",19.55664,17.27938,66900,29093,21.3,2,67.9,8.4,15.4,5.4,1.6,529.77164
"51","Montgomery",35.95065,9.816947,87700,35962,17.3,4,80.3,6.7,6.7,5.5,7.7,725.29999
"52","Morgan",26.88179,7.989365,88600,37803,12.3,4.4,76.3,5.4,27.7,5.5,5.1,224.14999
"53","Perry",26.2174,19.84832,47600,20200,35.4,2.5,62.4,14.7,49.2,5.2,1.3,535.37693
"54","Pickens",20.80139,15.06303,66000,26254,24.9,1.9,69.7,8.2,46.9,5.3,1.6,388.94715
"55","Pike",32.7998,14.64845,71400,25551,23.1,3.9,69.1,9.3,20.2,5.2,2.4,462.39999
"56","Randolph",20.8748,15.97472,63800,28675,17,2.7,61.9,5.3,41.7,5.4,0.6,612.20599
"57","Russell",37.55129,13.53423,71500,27492,19.9,4,66.5,6.3,64.5,5.1,3.5,438.39999
"58","St. Clair",16.307,11.57382,99800,37285,12.1,2.1,71.3,4.2,61.7,5.5,1.2,172.3
"59","Shelby",19.05695,7.876631,146700,55440,6.3,4.2,86.8,3,55.8,6,6.6,62.099998
"60","Sumter",27.66293,17.90594,54000,18911,38.7,2.1,64.8,11.5,31.3,5.1,4.5,484.56865
"61","Talladega",23.63891,11.00989,72200,31628,17.6,2.8,69.7,7.7,34.6,5.4,2.2,458.20001
"62","Tallapoosa",23.66114,18.79083,73600,30745,16.6,2.1,70.1,6.1,28.7,5.4,1.6,596.38494
"63","Tuscaloosa",36.51596,9.676742,106600,34436,17,4.4,78.8,6.2,10.9,5.3,12.1,545.70001
"64","Walker",19.99365,12.5027,66700,29076,16.5,2.2,67.2,6.4,37,5.4,1.1,0
"65","Washington",11.82699,17.4566,63000,30815,18.5,2,72.3,7.7,48.1,5.4,0.2,564.07694
"66","Wilcox",16.72948,22.75594,52200,16646,39.9,2.8,59.5,15.2,36.9,5.3,0.5,539.50843
"67","Winston",19.98615,19.15693,60800,28435,17.1,2.6,62.6,6.3,28.7,5.2,0.5,397.53201
"68","Aleutians East Bo",41.63498,27.34807,99500,47875,21.8,41.3,74.7,41.4,0.5,5,4.4,0
"69","Aleutians West Ce",72.20473,43.1513,93400,61406,11.9,39.1,78.5,12.7,7.6,4.4,11.5,0
"70","Anchorage Borough",39.95803,5.525666,160700,55546,7.3,13.6,90.3,6.8,3.3,5.1,12.5,643.90002
"71","Bethel Census Are",39.09134,18.54279,74900,35701,20.6,65.6,71,14.6,1.5,3.3,4.2,0
"72","Bristol Bay Borou",48.97959,49.94893,139000,52167,9.5,4.2,88.9,10.5,1.4,4.1,3.6,643.90002
"73","Denali Borough",35.28662,41.89489,103400,53654,7.9,7.7,91.7,11.6,12.3,3,5.2,777.21664
"74","Dillingham Census",39.37214,34.43396,105300,43079,21.4,36.3,76.6,11.5,2.4,4.2,2.7,643.90002
"75","Fairbanks N. Star",46.03217,10.55541,132700,49076,7.8,7.8,91.8,9.1,2.3,4.7,11,915
"76","Haines Borough",30.27245,30.16209,133100,40772,10.7,3.9,88.9,13.7,6,3.9,3,6.55
"77","Juneau Borough",36.21242,6.016935,195100,62034,6,9.5,93.2,5.4,1.3,4.9,10.9,0
"78","Kenai Peninsula B",26.34234,25.86547,118000,46397,10,7.5,88.5,11.4,7.3,4.5,3.7,773.17656
"79","Ketchikan Gateway",39.28505,13.17144,165000,51344,6.5,8.2,89.6,7.6,3.1,4.6,12.7,6.55
"80","Kodiak Island Bor",45.18535,14.24695,155100,54636,6.6,24.5,85.4,5.2,1.8,4.9,7.2,643.90002
"81","Lake and Peninsul",32.48299,62.23507,87400,36442,18.9,13.6,72.2,14.3,3.2,3.2,0.1,643.90002
"82","Matanuska-Susitna",21.16171,24.7832,125800,51221,11,5.1,88.1,10.3,35.3,4.7,1.3,771.36641
"83","Nome Census Area",41.77497,26.19896,77100,41250,17.4,28.8,74.8,16.4,2,3.4,3.7,0
"84","North Slope Borou",51.2091,16.90307,113300,63173,9.1,49.9,77.4,14.9,1.1,4.1,10.6,779.78352
"85","Northwest Arctic",43.70787,29.92126,89200,45976,17.4,41.9,72,15.6,0.6,3.6,4.6,0
"86","Prince of Wales -",29.92927,25.95745,121800,40636,12.1,4.8,84.1,15,4.3,4.2,1.8,6.55
"87","Sitka Borough",41.8853,10.19178,196500,51901,7.8,9.6,90.6,7.8,2.8,4.7,3.6,6.55
"88","Skagway-Hoonah-An",36.37692,35.05693,120900,40879,12.8,8.1,84.4,15.7,10.6,4.2,0.9,6.55
"89","Southeast Fairban",30.88656,34.94574,86000,38776,18.9,16.4,86.8,17.7,6.5,4.3,1.6,783.40153
"90","Valdez-Cordova Ce",32.15757,24.55322,141300,48734,9.8,9,88.5,9.6,3.7,4.4,7.3,780.72599
"91","Wade Hampton Cens",33.58302,22.3461,38700,30184,26.2,50.3,66.3,23.9,2.3,3.1,0,0
"92","Wrangell-Petersbu",29.60959,21.22412,156100,46434,7.9,5.8,85.8,11,3.2,4.7,2.3,6.55
"93","Yakutat Borough",40.37736,46.89379,100700,46786,13.5,10.1,84.3,7.8,5.7,3.2,0.4,510.61542
"94","Yukon-Koyukuk Cen",32.78476,41.05183,59900,28666,23.8,16,74.3,19.9,7.3,3,0.9,779.48121
"95","Apache",25.67222,36.84261,41700,23344,37.8,61.7,63.6,21.8,22,3.4,0.6,0
"96","Cochise",32.68631,14.1474,88200,32105,17.7,29.5,79.5,6.7,6.6,5.1,6.7,306.20001
"97","Coconino",38.61749,24.31563,142500,38256,18.2,28.2,83.8,6.9,8.1,4.7,7.7,951.09998
"98","Gila",21.25124,28.55369,100100,30917,17.4,18.2,78.2,9.7,12.3,4.9,1.2,234.7
"99","Graham",26.82879,11.49606,80900,29668,23,23.7,75.6,11.6,21.9,5.1,2,548.54245
"100","Greenlee",48.95733,16.7468,62700,39384,9.9,26,82.5,6.3,6.3,5.1,1.1,583.89157
"101","La Paz",21.93255,44.74327,86500,25839,19.6,21.6,69.3,8,13.8,3.9,1.2,402.12202
"102","Maricopa",32.51192,9.385865,129200,45358,11.7,24.1,82.5,4.7,1.8,5.1,16.9,489.96924
"103","Mohave",26.39749,21.54955,95300,31521,13.9,10.7,77.5,7,25.3,4.9,4.8,288.75
"104","Navajo",24.53816,36.63552,77000,28569,29.5,39.9,71.2,12.3,9.9,4.6,1.2,753.94995
"105","Pima",35.72439,9.376474,114600,36758,14.7,27.5,83.4,5.3,2.7,4.9,16.3,394.79999
"106","Pinal",22.5572,24.38574,93900,35856,16.9,25.2,72.7,8.1,40.1,4.7,4.2,640.5
"107","Santa Cruz",32.01795,9.412396,94700,29710,24.5,80.5,60.7,7.7,13.7,4.9,2.8,337.79999
"108","Yavapai",26.58078,14.14291,138000,34901,11.9,9.7,84.7,5,11.9,5,3.5,416.52002
"109","Yuma",27.78562,27.36984,85100,32182,19.2,45.5,65.8,12.1,4.5,4.2,5.5,457.10001
"110","Arkansas",32.21,12.56203,56800,30316,17.8,2.3,72.4,6.2,7.8,5.3,1.6,559.43693
"111","Ashley",23.80648,11.5968,55700,31758,17.5,4,72.5,6.9,12.8,5.2,1.1,631.32202
"112","Baxter",20.26155,14.27279,84500,29106,11.1,3.1,77.5,4,10.6,5.1,2.8,35.799999
"113","Benton",27.80183,9.441359,94800,40281,10.1,10.2,80.4,3.4,17.6,5.3,4.2,209.64999
"114","Boone",26.66233,10.21004,75300,29988,14.8,3.1,76.8,5,12.1,5.2,2.8,170.5
"115","Bradley",27.49276,18.48229,45000,24821,26.3,7.5,66.6,10.8,26.8,5.1,1.2,633.20065
"116","Calhoun",17.82477,23.07437,41700,28438,16.5,2.2,68.7,5.3,52.3,5,0.1,728.79999
"117","Carroll",26.98008,13.85695,83900,27924,15.5,11.3,71.8,5.5,12.5,5.1,0.9,379.1103
"118","Chicot",30.37464,12.87245,47300,22024,28.6,4.8,64.2,10.2,24.1,5.2,4.6,563.64899
"119","Clark",34.35817,12.33523,67900,28845,19.1,4.1,75.3,4.7,17,5.1,7,0
"120","Clay",25.09101,12.72064,39600,25345,17.5,1.8,60.6,5.6,29.7,5.1,1.6,558.82096
"121","Cleburne",19.40137,25.79377,87400,31531,13.1,2.6,74.8,4.9,32,5.1,1.7,416.13674
"122","Cleveland",17.7513,14.63224,48900,32405,15.2,2.3,73.1,5.5,70.4,5.2,0.6,618.45153
"123","Columbia",28.72458,13.70396,55700,27640,21.1,2.9,74.1,7.6,15.3,5.2,3.1,1708
"124","Conway",21.97816,11.75233,59400,31209,16.1,2.9,73.2,6.6,41,5.1,2.3,205.7
"125","Craighead",36.07318,8.060798,79200,32425,15.4,3.8,77.3,5.7,11.5,5.2,6.7,463.79999
"126","Crawford",24.12445,7.567441,71600,32871,14.2,4.6,71.5,6.1,53.2,5.2,2.2,197.39999
"127","Crittenden",39.70007,9.928317,70500,30109,25.3,3.5,69.2,6.9,40.6,5,6.6,0
"128","Cross",29.31944,7.957659,61500,29362,19.9,2.6,68.3,7.6,32.3,5.2,1.2,520.17808
"129","Dallas",26.08696,20.0409,38700,26608,18.9,3.5,66.8,7.4,38.2,5.1,2.7,624.64898
"130","Desha",36.50794,11.12112,46700,24121,28.9,3.7,65,8.8,19.6,5.2,2.4,513.71924
"131","Drew",31.11626,11.46374,60100,28627,18.2,3.2,73.1,8.9,24.5,5.1,1.7,587.39774
"132","Faulkner",31.41898,7.711457,92900,38204,12.5,4,83.3,6.8,32.9,5.2,6.1,0
"133","Franklin",21.95583,10.30888,58500,30848,15.2,2.9,71.1,5.9,45.4,5.1,1.9,406.0224
"134","Fulton",18.87734,19.47095,54500,25529,16.3,1.5,72.2,5.9,50.1,5.1,1.4,410.72616
"135","Garland",28.83929,15.88326,85900,31724,14.6,4.8,78.3,5.1,11.5,5.1,5.7,0
"136","Grant",19.80452,10.33046,70700,37182,10.2,2.2,77.2,4.2,59,5.2,0.4,558.22005
"137","Greene",28.69831,8.730895,66800,30828,13.3,2,72.1,5.6,18.3,5.2,3,0
"138","Hempstead",30.68423,11.87291,51400,28622,20.3,9.5,69.2,6.5,26.9,5.1,2.4,0
"139","Hot Spring",22.03432,10.31082,63100,31543,14,2.6,73.3,4.9,48,5.1,1.1,1043
"140","Howard",27.98392,13.11736,55600,28699,15.5,7.3,70.7,4.9,13.6,5.1,1.6,609.92756
"141","Independence",25.61075,9.258136,64300,31920,13,3,75.5,5.9,11.5,5.2,2.1,0
"142","Izard",19.85294,17.46321,57800,25670,17.2,2.3,73.3,4.1,35.6,5.1,1.9,415.33262
"143","Jackson",30.41171,12.38059,45300,25081,17.4,2.1,66,6.9,24,5.2,1.1,484.65271
"144","Jefferson",33.86025,11.04803,57600,31327,20.5,3.4,74.8,8.3,15.4,5.3,4.7,1343.1
"145","Johnson",27.00847,11.96857,59300,27910,16.4,6.2,67.6,7.8,20.9,5.1,1.5,385.84471
"146","Lafayette",21.57833,24.69298,33600,24831,23.2,2.8,65.3,7.9,43.2,5.1,0.9,690.86061
"147","Lawrence",28.82667,12.08411,45300,27139,18.4,1.5,63.3,5.6,35.1,5.1,2.4,496.15798
"148","Lee",36.37016,12.29027,42800,20510,29.9,3.8,56.2,13.3,33.8,5.3,2.1,529.39976
"149","Lincoln",23.84525,13.92533,52200,29607,19.5,1.9,65,7,46.2,5.2,1,587.7458
"150","Little River",23.49497,15.07382,55300,29417,15.4,3.4,73.4,6.5,38.9,5.1,1.6,678.14228
"151","Logan",22.79995,12.56286,54000,28344,15.4,2.6,69.8,5.3,33.1,5.2,1.4,438.94005
"152","Lonoke",24.07331,7.16661,85500,40314,10.5,2.6,77.6,3.9,61.9,5.4,1,265
"153","Madison",21.0324,16.42955,62300,27895,18.6,3.7,67.8,2.7,46.5,5.1,1.4,401.97679
"154","Marion",19.96753,17.71706,73200,26737,15.2,2.7,76,5.1,39.4,5,0.8,395.60001
"155","Miller",32.05858,11.78992,63700,30951,19.3,3,74.3,6.8,55.1,5.1,6.5,682.59998
"156","Mississippi",41.13908,13.27208,56200,27479,23,3.2,64.7,8.8,9,5.1,1.5,1711.4
"157","Monroe",35.07917,18.98559,42300,22632,27.5,2.3,63.8,5.3,32.8,5.1,2,481.10053
"158","Montgomery",17.19947,25.01981,54000,28421,17,4.1,69.8,6.3,42.1,4.8,0.7,541.47843
"159","Nevada",25.19908,18.05936,41200,26962,22.8,3.1,69.1,6.3,47.2,5.2,1.1,642.27283
"160","Newton",18.51429,18.90639,50100,24756,20.4,1.6,70.2,4.5,56.7,4.8,2.4,373.70285
"161","Ouachita",28.60587,13.65799,50200,29341,19.5,2.3,73.5,8.5,27.7,5.3,2.1,0
"162","Perry",17.87415,15.16376,58700,31083,14,2.9,73.8,4.7,70.7,5.1,0.9,468.31762
"163","Phillips",43.72361,10.57188,46900,22231,32.7,3.1,62.2,11.3,18.9,5.1,2.3,514.90002
"164","Pike",21.35879,18.64162,49600,27695,16.8,3.8,68.8,4.3,42.5,5,0.6,594.0089
"165","Poinsett",33.1538,9.275179,49500,26558,21.2,2.6,62,6.3,41.2,5.1,1.3,554.50493
"166","Polk",21.61054,12.87354,57100,25180,18.2,4.5,72.6,5.8,9.9,5.1,1.5,558.32853
"167","Pope",28.80054,9.408778,71100,32069,15.2,3.6,77.4,5.8,16.5,5.2,3.7,695.59998
"168","Prairie",27.24705,18.70564,55600,29990,15.5,2.4,68.2,4.5,47.2,5.1,1.9,496.65186
"169","Pulaski",39.11938,8.187545,85300,38120,13.3,5.5,84.4,5.3,5.5,5.2,12.2,585.58002
"170","Randolph",25.46456,12.13111,50600,27583,15.3,2.3,69.2,6.4,26.1,5.2,0.9,491.13492
"171","St. Francis",36.78184,10.66536,56000,26146,27.5,2.2,65.1,11.8,26.4,5.1,2.5,0
"172","Saline",19.29951,6.051737,93700,42569,7.2,3.1,82.3,3.9,62.8,5.3,1.9,454.79999
"173","Scott",25.79227,12.20552,48000,26412,18.2,6.1,65.4,3.9,27.8,4.9,2.1,522.2073
"174","Searcy",22.31053,17.91706,45600,21397,23.8,1.9,68,4.7,33.8,4.9,2.2,394.13574
"175","Sebastian",36.45033,8.134088,73300,33889,13.6,9.4,76.6,4.7,12.2,5.1,11.5,877.5
"176","Sevier",25.82341,11.2838,51700,30144,19.2,17.8,64.6,4.7,26,5.1,1.4,598.95178
"177","Sharp",19.88629,22.81096,51900,25152,18.2,2.3,72.9,6.4,37.4,4.9,1,418.81427
"178","Stone",22.14765,16.57043,64200,22209,18.9,2.3,68,4.4,24.6,5,0.7,390.61956
"179","Union",27.14993,12.99574,55400,29809,18.7,2.5,74.5,6.9,6.2,5.2,1.8,806.40002
"180","Van Buren",18.8718,25.52379,63700,27004,15.4,2.4,71.6,6.7,36.2,4.8,3.1,394.24814
"181","Washington",40.56956,6.496192,90100,34691,14.6,10.5,79.5,7.9,13.5,5,10.6,529
"182","White",27.04788,8.926954,72100,32203,14,3.5,72.9,11.3,25,5.1,4.6,104.2
"183","Woodruff",34.3812,13.64637,35500,22099,27,1.7,60.6,8,25.5,5.2,3.1,453.56023
"184","Yell",27.0765,13.48695,60600,28916,15.4,13.4,64.1,5.2,37.5,5,1.6,490.09077
"185","Alameda",45.29526,3.113204,303100,55946,11,36.8,82.4,5.5,33.1,4.8,20.4,397.96924
"186","Alpine",32.0911,68.09776,184200,41875,19.5,8.2,88.3,8.1,35.6,4.2,31.4,352.72402
"187","Amador",24.60224,15.13801,153600,42280,9.2,7.6,84,4.4,26.4,5.2,3.3,372.37523
"188","Butte",39.2542,6.965378,129800,31924,19.8,12.5,82.3,9.3,9.3,5,7.9,380.89999
"189","Calaveras",21.28241,28.22714,156900,41022,11.8,6.2,85.7,7.7,41.2,5.3,0.7,0
"190","Colusa",36.73938,9.994095,107500,35062,16.1,42,64,10.7,19.7,4.9,3.7,484.44953
"191","Contra Costa",30.71988,2.94661,267800,63675,7.6,26,86.9,4.8,42.4,5.5,12.3,327.46112
"192","Del Norte",36.19411,12.11424,121100,29642,20.2,9.8,71.6,10.7,5.9,4.8,3.5,339.85652
"193","El Dorado",25.29055,17.31109,194400,51484,7.1,10.1,89.1,5.4,44.9,5.4,4.1,659.84998
"194","Fresno",43.52178,6.583889,104900,34725,22.9,40.8,67.5,11.8,7.4,4.9,12.6,456.29999
"195","Glenn",36.02268,8.114606,94900,32107,18.1,31.2,68.5,9.1,29.2,5.1,5.2,481.37439
"196","Humboldt",42.3787,8.359565,133500,31226,19.5,8.3,84.9,8.6,2,4.8,4.4,430.76666
"197","Imperial",41.67428,10.26862,100000,31870,22.6,67.8,59,12.6,7,4.5,9.3,352.76001
"198","Inyo",34.11658,14.80867,161300,35006,12.6,11.8,82.3,5.9,7.3,4.8,3.2,387.56454
"199","Kern",37.85777,9.894457,93300,35446,20.8,33.4,68.5,12,6.4,5,7.1,406.29999
"200","Kings",44.06996,5.866586,97600,35749,19.5,36.7,68.8,13.6,20.7,5.1,8.2,327.82501
"201","Lake",29.4736,26.29734,122600,29627,17.6,10.2,77.3,11,21.7,4.7,1.7,506.39999
"202","Lassen",31.92727,19.79167,106700,36310,14,13.8,79.6,9.4,10.2,5,2.5,470.20001
"203","Los Angeles",52.14416,4.192565,209300,42189,17.9,54.1,69.9,8.2,7.3,4.2,25.1,532.12634
"204","Madera",33.7602,10.47862,118800,36286,21.4,37,65.4,13.2,31.2,5.2,4.2,482.76666
"205","Marin",36.39543,4.133727,514600,71306,6.6,19.5,91.2,3,37.9,5.3,14.8,148.64
"206","Mariposa",30.09224,25.07365,141900,34626,14.8,5.2,85.1,14.1,27.6,4.9,2.4,380.56388
"207","Mendocino",38.70919,9.938544,170200,35996,15.9,16.1,80.8,7.3,5.9,4.8,4.5,958.5
"208","Merced",41.27556,6.666374,111100,35532,21.7,45.2,63.8,13.1,25,4.9,6.8,628.47498
"209","Modoc",29.30761,21.28146,69100,27522,21.5,11.3,77.1,11.9,16.1,5.1,2.5,379.2023
"210","Mono",39.92603,56.30688,236300,44992,11.5,17.4,87.9,5.8,15,4.5,17,373.42342
"211","Monterey",45.34132,7.950922,265800,48305,13.5,47.3,68.4,8.7,11,4.7,11.6,436.66251
"212","Napa",34.88393,6.491741,251300,51738,8.3,25.2,80.4,4.3,22.7,5.2,7.6,255.29999
"213","Nevada",24.24242,16.68398,205700,45864,8.1,6.4,90.3,4.7,27.6,5.4,3.2,307.5
"214","Orange",38.60783,3.52734,270000,58820,10.3,41.4,79.5,5,17,5,18,224.02904
"215","Placer",26.78675,12.97273,213900,57535,5.8,10.6,90.5,4,40.3,5.7,6.7,248.14
"216","Plumas",29.94444,32.76558,137900,36351,13.1,5.5,88,9.5,13.2,5.1,1.4,421.21868
"217","Riverside",31.16029,13.41876,146500,42887,14.2,32.9,75,7.5,29.4,5.2,9.3,594.09998
"218","Sacramento",41.84087,4.467433,144200,43816,14.1,24.4,83.3,6.7,15.5,5.1,14.7,460.43332
"219","San Benito",31.86024,3.721438,284000,57469,10,37.8,74.9,6.6,48.5,5.4,3.2,350.39999
"220","San Bernardino Co",35.48659,12.10155,131500,42066,15.8,34,74.2,8.3,30.7,5.1,9.3,499.46817
"221","San Diego",44.55597,4.371681,227200,47067,12.4,33,82.6,5.9,3.5,4.8,20.1,442.44614
"222","San Francisco Cou",65.02426,4.855899,396400,55221,11.3,45.7,81.2,4.6,23.1,3.8,33.1,752.40002
"223","San Joaquin",39.61812,3.981286,142400,41282,17.7,33.7,71.2,10.3,23.5,5.1,10.5,571.26001
"224","San Luis Obispo C",38.54581,9.323882,230000,42428,12.8,14.7,85.6,5.9,10.3,5,7.2,298.98334
"225","San Mateo",38.50368,2.484112,469200,70819,5.8,41.5,85.3,3.3,41.8,5,18.9,270.53333
"226","Santa Barbara Cou",43.94827,4.393951,293000,46677,14.3,32.8,79.2,6.7,5.9,4.9,13.5,377.60001
"227","Santa Clara",40.15583,2.324413,446400,74335,7.5,45.4,83.4,3.9,12.2,5,18.2,261.71539
"228","Santa Cruz",40.02019,7.822155,377500,53998,11.9,27.8,83.2,6.1,26.2,4.8,8.3,538.70001
"229","Shasta",33.86151,7.824444,120800,34335,15.4,6.5,83.3,8.7,7.4,5.1,4.7,508.10001
"230","Sierra",29.14474,30.97184,128600,35827,11.3,6.3,85.2,9.4,39.3,4.9,2,109.4
"231","Siskiyou",32.77107,15.45086,100300,29530,18.6,9,83.8,9.6,6.2,5,3.6,378.99523
"232","Solano",34.81975,3.055467,178300,54099,8.3,24.6,83.8,6.1,43.2,5.5,8.9,421.22858
"233","Sonoma",35.89961,5.86941,273200,53076,8.1,19.8,84.9,4.3,18,5.2,8.5,259.62
"234","Stanislaus",38.05479,3.753804,125300,40101,16,32.4,70.4,11.7,20.9,5.1,7.6,338.92859
"235","Sutter",38.53808,4.541121,120700,38375,15.5,30.3,73,11.8,43.9,5.3,11.7,472.29999
"236","Tehama",32.31809,10.76146,103000,31206,17.3,14.4,75.7,9.7,23.8,5,4.2,975.79999
"237","Trinity",28.7453,29.98747,112000,27711,18.7,4.1,81,13.9,16.7,4.4,1.2,422.47542
"238","Tulare",38.48439,7.734936,97800,33983,23.9,43.8,61.7,12.7,11.8,5,4.4,801.78571
"239","Tuolumne",28.77071,25.87521,149800,38725,11.4,5.8,84.3,7.7,17,5.2,2,0
"240","Ventura",32.42186,3.368135,248700,59666,9.2,33,80.1,5.2,23.8,5.5,9.8,270.82224
"241","Yolo",46.93221,3.591667,169800,40769,18.4,32.1,79.8,7.1,32.8,4.8,19.2,643.26666
"242","Yuba",46.00438,9.281675,89700,30460,20.8,21.9,71.8,11.3,43.9,4.9,6.1,982.79999
"243","Adams",29.42352,3.347059,149800,47323,8.9,21.6,78.8,4.7,60.7,5.6,15.2,539.10004
"244","Alamosa",35.96122,10.20039,87900,29447,21.3,28.3,82.6,8.8,13.1,5.1,4.8,518.7118
"245","Arapahoe",31.95763,3.010643,171700,53570,5.8,15.5,90.7,3.2,49.9,5.8,21.4,327.26001
"246","Archuleta",23.21608,35.93046,167400,37901,11.7,11.9,87.3,4.9,10.4,5,2.4,605.01648
"247","Baca",23.46457,19.41624,47300,28099,16.9,5.8,78.5,2.4,5.7,5.3,0.3,418.47979
"248","Bent",32.25162,15.34235,57200,28125,19.5,16.8,77.2,5.3,29.7,5.5,0.8,421.18091
