"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate"
"1318","Blue Earth",33.58656,4.137272,98200,38940,12.9,5.2,87.7,4.6,23.2,5.6,13.7,181.3
"1319","Brown",19.90942,5.061363,85400,39800,6.4,6.1,81.7,5.4,10.4,6.2,7,86.5
"1320","Carlton",18.00398,12.07638,85400,40021,7.9,5,84.3,5.8,31.9,5.3,5.2,236.2
"1321","Carver",16.54213,2.117912,170200,65540,3.5,6.2,91.4,3.2,60.9,7,7.8,106.7
"1322","Cass",14.01818,48.82552,105900,34332,13.6,4.7,83.9,6.8,39.9,5,1.6,0
"1323","Chippewa",23.46577,8.437233,62200,35582,8.6,3.7,81.6,5.6,25.7,5.9,6.6,198.05059
"1324","Chisago",12.95143,6.946501,132500,52012,5.1,3.5,88.7,3.4,65.8,6,5.2,36.599998
"1325","Clay",28.35029,5.449205,85400,37889,13.2,7.7,86.7,5.3,53.1,5.7,16.5,246.7
"1326","Clearwater",18.40841,19.05688,51300,30517,15.1,3.6,76.4,10.3,32,5.3,4.2,195.76195
"1327","Cook",21.78723,50.08496,107700,36640,10.1,4.3,88.7,6.2,4.6,4.4,3.1,149.54548
"1328","Cottonwood",19.60545,8.537947,50600,31943,11.7,7.1,80.4,3.8,16.8,6,6.3,233.65002
"1329","Crow Wing",20.36404,33.54837,107500,37589,9.8,3.1,86.3,5.5,13,5.5,5,453.70001
"1330","Dakota",21.80845,1.943178,152400,61863,3.6,7.6,93.2,2.6,54.2,6.3,16.9,157.94444
"1331","Dodge",15.63863,3.342367,97100,47437,5.8,5.8,86.7,3.5,55.8,6.4,5.1,151.06441
"1332","Douglas",22.8382,20.47442,102300,37703,8.5,3.2,85.6,3.9,11.4,5.6,8,166.7
"1333","Faribault",19.37763,8.210294,50300,34440,8.6,3.9,83.6,4.6,22.8,6.1,4,197.95689
"1334","Fillmore",19.2878,7.633588,74400,36651,10.1,6.3,81.7,3.5,37,6.2,3.3,168.49924
"1335","Freeborn",21.32375,4.572735,71400,36964,8.4,7,81.2,4.3,22.3,5.8,7.9,101.4
"1336","Goodhue",21.09168,5.011466,116000,46972,5.7,3.2,86.7,3.1,32.6,6.2,8.4,206.8
"1337","Grant",17.83741,18.20529,52900,33775,8.4,4.2,83.5,4.8,30.3,5.8,4.2,197.18971
"1338","Hennepin",33.82684,2.707839,143400,51711,8.3,12.8,90.6,3.8,16.9,5.5,26.2,245.53889
"1339","Houston",18.94406,6.549951,88600,40680,6.5,3.4,85.5,3.9,50.5,6,4.2,153.17064
"1340","Hubbard",16.62407,39.2019,97300,35321,9.7,3.3,86.1,6.6,38,5.1,3.5,193.40894
"1341","Isanti",14.76504,6.847952,110700,50127,5.7,3.4,86.6,4.3,60.4,5.9,6.3,0
"1342","Itasca",17.11732,27.47472,81700,36234,10.6,3.8,85.6,6.7,15.6,5.1,4.3,0
"1343","Jackson",20.91747,10.52632,56800,36746,8.6,3.8,84.1,3.5,29.1,6.2,4,234.45576
"1344","Kanabec",15.95763,15.87788,90400,38520,9.5,3,80.6,6.2,46.3,5.3,4.2,164.88582
