"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE","Instances"
"90","Union",0.269537907,0.022695203,0.000129478,0.094555203,0.001504277,0.005938112,0.013162729,0.048102722,137849.6917,1609.920885,12521.18976,10.648,0.31,0.053,25.41,41.893,16.255,0.484,0.289,0.545,0.55,2.733,4.245,0.03,0.000380022,3,"1,004"
"91","Vance",0.080169187,0.239320427,0.000335872,0.002791213,0.007864039,0.005455026,0.003167621,0.171268061,6876.74396,113.6568,421.94415,2.013,0.135,0.064,37.507,102.338,6.39,0.764,0.111,0.533,0.565,1.717,4.665,0.021,0.00032593,2,"257"
"92","Wake",0.049767938,0.084867047,0.000351775,0.002203605,0.011480983,0.003246171,0.00185183,0.027991898,13243.8203,132.06,778.84296,2.227,0.121,0.048,26.41,36.429,8.87,0.785,0.177,0.476,0.776,2.092,4.232,0.02,0.000205464,2,"3,964"
"93","Warren",0.050663306,0.108551149,0.000232368,0.003943218,0.012579569,0.000947076,0.00067598,0.296465574,5775.63637,90.3546,371.87567,2.242,0.107,0.052,20.792,30.013,5.331,0.394,0.114,0.578,0.505,1.667,2.948,0.012,0.00025035,2,"143"
"94","Washington",0.361938606,0.07642587,0.0000699533,0.00591658,0.04682456,0.043374756,0.077088586,0.071818952,113701.9143,14673.8902,13814.56525,1.81,0.194,0.042,20.542,47.6,5.778,0.615,0.16,0.802,0.682,2.739,3.302,0.014,0.000510093,3,"84"
"95","Watauga",0.044077559,0.014259505,0.000194857,0.010227473,0.00028479,0.001973548,0.000249816,0.116360148,61.01886,90.44,26.15605,2.13,0.131,0.037,21.365,70.451,13.897,1.127,0.946,0.673,2.327,4.186,6.255,0.04,0.000163954,1,"241"
"96","Wayne",0.331995815,0.151512175,0.000398561,0.03865201,0.042132403,0.029866824,0.053626121,0.223267625,110921.7708,801.6468,9305.63733,2.969,0.221,0.045,19.855,19.696,4.615,0.084,0.039,0.694,0.098,0.966,1.478,0.021,0.000308835,3,"668"
"97","Wilkes",0.062912867,0.011950114,0.00011103,0.038609642,0.000820388,0.000781322,0.000345427,0.074087011,3155.58016,25.6744,355.83423,1.021,0.105,0.048,21.127,37.752,8.374,0.455,0.299,0.657,0.583,2.616,3.89,0.017,0.000350439,2,"420"
"98","Wilson",0.336630952,0.180155507,0.00022962,0.005364753,0.078596764,0.045811234,0.117289785,0.250417089,45684.30638,230.0176,2733.98577,2.964,0.147,0.044,28.338,19.853,4.178,0.067,0.039,0.542,0.068,1.147,1.609,0.015,0.000596093,3,"450"
"99","Yadkin",0.229497541,0.104077158,0.00039353,0.066367707,0.011727199,0.00199543,0.006097403,0.446699625,31819.25325,121.4526,2569.88153,1.683,0.105,0.074,22.14,41.807,8.57,0.394,0.364,0.652,0.595,3.093,3.727,0.026,0.000247606,2,"234"
"100","Yancey",0.026927438,0.007759853,0.00018464,0.003912363,0.000748539,0.000788461,0.000279455,0.22985528,41.38872,52.36,15.871,1.256,0.147,0.032,22.274,61.791,12.887,0.981,0.749,0.752,1.558,3.662,6.05,0.037,0.000168786,2,"111"
