"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co"
"3034","Ritchie",11.933010746,11.885940111,510.67544446,455.05003749,8350.0020725,1038.7147158,0.5,0.5,0.5,0.0004781819,0.0005313695,0.01,0.01,0.0000577045,0.0002208246,0.1,0.01,0.0018441636,0.0000397698,0.5,0.5,0.5,0.0050294696,0.000000012844751,0.1,0.1,0.01,0.006259232,216.1044621,NA,NA,56.21,27332,19.1,51100,7.5,73.4,0.7,5.4,318.87267,40.9
"3035","Roane",12.253175686,12.81847413,521.9372191,466.4626028,9157.0403937,1170.1916457,0.5,0.5,0.5,0.0004816792,0.0005293825,0.03,0.055,0.0000537704,0.0000845084,0.1,0.01,0.0028863804,0.0000315316,0.5,0.5,0.5,0.0039137042,0.000000030532668,0.1,0.1,0.01,0.000807494,NA,NA,NA,57.76,24511,22.6,56600,12.6,66.8,1.2,5.5,336.07575,40.4
"3036","Summers",11.560650238,12.026838685,691.02038082,311.29168158,9046.7027739,1245.8451546,0.5,0.5,0.5,0.0003905603,0.0005075584,0.01,0.01,0.0000319831,0.0000710205,0.1,0.01,0.0023827314,0.0040602989,0.5,0.5,0.5,0.0039944013,0.00000024448316,0.1,0.1,0.01,0.002154323,201.6888923,NA,NA,55.41,21147,24.4,56100,12.5,65.4,2.5,5.4,369.81788,44.1
"3037","Taylor",9.9522434121,11.204953406,651.6308617,248.04396582,5240.7341058,1670.3903532,0,0,0,0.002949262,0.0005851319,0,0,0.0000666587,0.0001191541,0,0,0.002523323,0.0006763123,0,0,0,0.0033872398,0.000000030008763,0,0,0,0.012824435,NA,NA,NA,18.55,27124,20.3,61900,7.4,74.7,2.8,5.4,308.57263,56.7
"3038","Tucker",9.0648219259,10.362980529,629.14212232,314.4652688,7016.660533,1652.228915,0.5,0.5,0.5,0.0011259341,0.0005124391,0.01,0.01,0.0000352979,0.0000573749,0.1,0.01,0.0020182826,0.0000811038,0.5,0.5,0.5,0.0024493248,0.000000074752843,0.1,0.1,0.01,0.003216945,325.1646,NA,NA,41.17,26250,18.1,61100,7.7,75.5,1.1,5.4,338.74878,26
"3039","Tyler",12.652717959,11.320659582,549.95155065,438.8209025,7485.4190286,999.89034885,0.5,0.5,0.5,0.0004790309,0.0005918815,0.011,0.01,0.0000454012,0.0001645267,0.1,0.01,0.0019936362,0.0000442705,0.5,0.5,0.5,0.0044941698,0.0000000070956907,0.1,0.1,0.01,0.00845113,145.1573474,0.159210526,NA,47.13,29290,16.6,61500,10.1,75.4,1.4,5.7,342.82487,47.9
"3040","Upshur",7.9396362387,11.07181461,556.72132714,312.17228625,6753.4460493,1408.0338447,0.5,0.5,0.5,0.0005931211,0.0005432726,0.01,0.01,0.0000633318,0.0001312586,0.1,0.01,0.003113655,0.0037704611,0.5,0.5,0.5,0.0029349959,0.000000078459708,0.1,0.1,0.01,0.015133609,46.734,NA,NA,33.55,26973,20,70000,7,74.6,2.7,5.5,335.93844,24.9
"3041","Wayne",16.092496517,13.292912744,1100.3726407,590.55577019,7053.8608034,802.59853682,0.5,0.5,0.5,0.0017314442,0.0005500025,0.01,0.01,0.0000579171,0.0002913033,0.1,0.01,0.0030648079,0.0066067697,0.5,0.5,0.5,0.005649408,0.0000000095290153,0.1,0.1,0.01,0.001516161,537.441,NA,NA,27.38,27352,19.6,70900,6.6,70.5,2.7,5.5,0,63
"3042","Webster",10.116176415,12.128555125,594.01347086,379.32521579,8132.9136082,1190.6691732,0.5,0.5,0.5,0.0003436128,0.0005023074,0.01,0.01,0.0000279524,0.0000459715,0.1,0.01,0.0018004504,0.0000365703,0.5,0.5,0.5,0.0027490242,0.00000013658574,0.1,0.1,0.01,0.0000758563,NA,NA,NA,51.85,21055,31.8,47500,14.6,58.2,1.8,5.2,329.83564,27.8
"3043","Wetzel",14.508229608,11.576111228,610.79055822,574.3523015,7029.0168229,1109.255746,0.5,0.5,0.5,0.0012530457,0.0007995334,0.007,0.008,0.0000981923,0.0001710227,0.1,0.01,0.0022812242,0.001896698,1.77,0.5,0.5,0.0043157443,0.0000000067109267,0.1,0.1,0.01,0.001798711,216.8371544,NA,NA,34.85,30935,19.8,66000,10.1,77.6,2.3,5.5,304.45678,35.8
"3044","Wirt",13.813685984,12.651578032,476.65572126,523.0513087,9189.1660348,925.52526899,0,0,0,0.000515174,0.0005389753,0,0,0.0000764438,0.0002078578,0,0,0.0019022185,0.0000343038,0,0,0,0.007183293,0.000000011755367,0,0,0,0.010140314,72.03482069,NA,NA,60.62,30748,19.6,62300,6.2,72.4,0.7,5.3,331.06076,67.4
"3045","Wood",18.628128768,13.52817051,473.94816559,703.39337017,10138.547611,720.09289118,0.5,0.5,0.5,0.0013914723,0.000579536,0.019,0.008,0.0002065976,0.0015035109,0.1,0.01,0.0060620297,0.0128447492,0.5,0.5,0.61,0.0354848308,0.0000000066006707,0.1,0.1,0.01,0.01212892,1781.39394,0.7755,NA,9.83,33285,13.9,77500,6.5,81.4,4.6,5.6,138.64999,15.8
"3046","Wyoming",11.452462419,12.398704585,684.81031179,320.87838041,7808.7810275,1130.8250627,0.5,0.5,0.5,0.0004538386,0.0005055088,0.008,0.009,0.0000301242,0.0001327639,0.1,0.01,0.0021680043,0.000082241,0.5,0.5,0.5,0.0027303864,0.00000012398703,0.1,0.1,0.01,0.000121433,42.0606,NA,NA,44.75,23932,25.1,47400,9.5,64.3,1.9,5.4,357.14829,36.9
